year,year_avg_rating,prev_year_avg_rating,percent_change_from_prev_year,cat
2020,5.56,5.79,-3.932,MID
2019,5.79,5.69,1.813,MID
2018,5.69,5.7,-0.144,MID
2017,5.7,5.66,0.684,MID
2016,5.66,5.62,0.739,MID
2015,5.62,5.67,-0.965,MID
2014,5.67,5.62,0.917,MID
2013,5.62,5.63,-0.153,MID
2012,5.63,5.62,0.134,MID
2011,5.62,5.63,-0.152,MID
2010,5.63,5.64,-0.185,MID
2009,5.64,5.66,-0.406,MID
2008,5.66,5.72,-0.98,MID
2007,5.72,5.68,0.72,MID
2006,5.68,5.76,-1.465,MID
2005,5.76,5.82,-0.952,MID
2004,5.82,5.76,0.999,MID
2003,5.76,5.87,-1.853,MID
2002,5.87,5.83,0.648,MID
2001,5.83,5.8,0.588,MID
2000,5.8,5.83,-0.507,MID
1999,5.83,5.87,-0.661,MID
1998,5.87,5.85,0.233,MID
1997,5.85,5.83,0.308,MID
1996,5.83,5.87,-0.622,MID
1995,5.87,5.84,0.463,MID
1994,5.84,5.94,-1.583,MID
1993,5.94,5.99,-0.902,MID
1992,5.99,5.99,0.065,MID
1991,5.99,5.92,1.096,MID
1990,5.92,5.88,0.664,MID
1989,5.88,5.84,0.766,MID
1988,5.84,5.87,-0.495,MID
1987,5.87,5.99,-1.966,MID
1986,5.99,6.03,-0.711,MID
1985,6.03,6.05,-0.39,MID
1984,6.05,6.07,-0.348,MID
1983,6.07,6.11,-0.585,MID
1982,6.11,6.19,-1.305,MID
1981,6.19,6.11,1.351,MID
1980,6.11,6.1,0.055,MID
1979,6.1,6.11,-0.094,MID
1978,6.11,6.16,-0.75,MID
1977,6.16,6.1,0.901,MID
1976,6.1,6.17,-1.095,MID
1975,6.17,6.14,0.429,MID
1974,6.14,6.09,0.839,MID
1973,6.09,6.11,-0.249,MID
1972,6.11,6.1,0.176,MID
1971,6.1,6.14,-0.661,MID
1970,6.14,6.17,-0.611,MID
1969,6.17,6.21,-0.622,MID
1968,6.21,6.25,-0.64,MID
1967,6.25,6.3,-0.804,MID
1966,6.3,6.36,-0.946,MID
1965,6.36,6.38,-0.293,MID
1964,6.38,6.47,-1.364,MID
1963,6.47,6.46,0.211,MID
1962,6.46,6.33,2.031,MID
1961,6.33,6.46,-1.998,MID
1960,6.46,6.34,1.84,MID
1959,6.34,6.37,-0.479,MID
1958,6.37,6.35,0.306,MID
1957,6.35,6.39,-0.546,MID
1956,6.39,6.43,-0.723,MID
1955,6.43,6.37,1.04,MID
1954,6.37,6.37,-0.017,MID
1953,6.37,6.43,-0.98,MID
1952,6.43,6.48,-0.818,MID
1951,6.48,6.56,-1.22,MID
1950,6.56,6.58,-0.288,MID
1949,6.58,6.6,-0.201,MID
1948,6.6,6.59,0.054,MID
1947,6.59,6.51,1.209,MID
1946,6.51,6.46,0.77,MID
1945,6.46,6.35,1.735,MID
1944,6.35,6.45,-1.474,MID
1943,6.45,6.36,1.417,MID
1942,6.36,6.47,-1.72,MID
1941,6.47,6.46,0.094,MID
1940,6.46,6.51,-0.76,MID
1939,6.51,6.4,1.789,MID
1938,6.4,6.4,-0.077,MID
1937,6.4,6.35,0.851,MID
1936,6.35,6.4,-0.763,MID
1935,6.4,6.31,1.36,MID
1934,6.31,6.42,-1.707,MID
1933,6.42,6.39,0.494,MID
1932,6.39,6.32,1.117,MID
1931,6.32,6.12,3.291,MID
1930,6.12,6.34,-3.502,MID
1929,6.34,6.78,-6.412,MID
1928,6.78,6.59,2.805,MID
1927,6.59,6.71,-1.796,MID
1926,6.71,6.6,1.631,MID
1925,6.6,6.79,-2.758,MID
1924,6.79,6.77,0.246,MID
1923,6.77,6.47,4.745,MID
1922,6.47,6.7,-3.452,MID
1921,6.7,6.32,6,MID
1920,6.32,6.41,-1.366,MID
1919,6.41,6.16,3.986,MID
1918,6.16,6.28,-1.899,MID
1917,6.28,6.37,-1.391,MID
1916,6.37,6.35,0.258,MID
1915,6.35,6.1,4.134,MID
1914,6.1,6.55,-6.816,MIN
1913,6.55,5.98,9.467,MAX
1912,5.98,6.14,-2.606,MID
1911,6.14,6.1,0.656,MID
1906,6.1,5.9,3.39,MID
1894,5.9,\N,\N,MID
